fpr,tpr
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.001
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.002
0.0,0.003
0.0,0.003
0.0,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.003
0.001,0.004
0.001,0.004
0.001,0.004
0.001,0.004
0.001,0.004
0.001,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.004
0.002,0.005
0.003,0.005
0.003,0.005
0.003,0.006
0.003,0.006
0.004,0.006
0.004,0.006
0.004,0.006
0.004,0.006
0.004,0.006
0.004,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.006
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.005,0.007
0.006,0.007
0.006,0.007
0.007,0.007
0.007,0.007
0.008,0.007
0.008,0.007
0.009,0.008
0.01,0.008
0.01,0.009
0.01,0.009
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.011,0.01
0.012,0.01
0.012,0.01
0.012,0.01
0.012,0.012
0.012,0.012
0.012,0.012
0.012,0.013
0.012,0.013
0.012,0.013
0.012,0.013
0.012,0.013
0.013,0.013
0.013,0.013
0.013,0.013
0.014,0.013
0.014,0.013
0.014,0.013
0.015,0.013
0.015,0.013
0.015,0.013
0.015,0.013
0.015,0.013
0.015,0.013
0.016,0.013
0.016,0.013
0.016,0.013
0.016,0.013
0.016,0.013
0.016,0.013
0.016,0.013
0.017,0.014
0.019,0.016
0.019,0.017
0.019,0.018
0.019,0.018
0.019,0.018
0.019,0.018
0.019,0.018
0.019,0.018
0.02,0.018
0.02,0.018
0.02,0.019
0.02,0.019
0.02,0.019
0.02,0.019
0.02,0.019
0.02,0.021
0.02,0.021
0.02,0.022
0.021,0.022
0.021,0.022
0.022,0.022
0.022,0.023
0.022,0.023
0.022,0.024
0.022,0.024
0.022,0.024
0.022,0.024
0.023,0.025
0.023,0.025
0.023,0.026
0.023,0.026
0.023,0.026
0.023,0.026
0.023,0.026
0.023,0.026
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.023,0.027
0.024,0.029
0.024,0.029
0.024,0.03
0.025,0.03
0.025,0.031
0.025,0.031
0.025,0.031
0.025,0.031
0.025,0.031
0.025,0.032
0.025,0.032
0.026,0.032
0.026,0.032
0.027,0.032
0.027,0.032
0.027,0.032
0.027,0.032
0.028,0.032
0.028,0.032
0.028,0.032
0.028,0.032
0.028,0.032
0.028,0.032
0.029,0.032
0.03,0.032
0.031,0.033
0.031,0.033
0.031,0.033
0.031,0.033
0.032,0.033
0.032,0.033
0.032,0.033
0.032,0.033
0.032,0.034
0.032,0.034
0.032,0.035
0.033,0.035
0.033,0.035
0.033,0.035
0.033,0.035
0.033,0.035
0.034,0.036
0.034,0.036
0.036,0.036
0.036,0.036
0.037,0.036
0.037,0.036
0.037,0.037
0.037,0.038
0.04,0.038
0.04,0.038
0.04,0.038
0.04,0.038
0.04,0.038
0.041,0.038
0.041,0.038
0.041,0.039
0.041,0.039
0.041,0.04
0.041,0.04
0.041,0.04
0.042,0.04
0.042,0.041
0.042,0.041
0.042,0.041
0.042,0.041
0.042,0.041
0.043,0.041
0.043,0.041
0.043,0.042
0.044,0.044
0.045,0.044
0.045,0.044
0.045,0.044
0.047,0.045
0.047,0.046
0.048,0.046
0.049,0.046
0.049,0.046
0.051,0.046
0.051,0.048
0.051,0.048
0.051,0.048
0.051,0.048
0.051,0.048
0.051,0.048
0.052,0.048
0.053,0.049
0.053,0.049
0.053,0.05
0.053,0.051
0.053,0.051
0.054,0.052
0.056,0.052
0.057,0.052
0.058,0.052
0.058,0.052
0.058,0.052
0.058,0.053
0.058,0.053
0.058,0.053
0.058,0.053
0.058,0.053
0.06,0.054
0.06,0.054
0.06,0.055
0.061,0.055
0.062,0.055
0.063,0.056
0.063,0.057
0.063,0.058
0.063,0.059
0.063,0.06
