fpr,tpr
0.001,0.0
0.001,0.0
0.001,0.0
0.001,0.001
0.001,0.001
0.001,0.001
0.002,0.001
0.002,0.001
0.003,0.002
0.004,0.002
0.006,0.003
0.007,0.003
0.007,0.004
0.007,0.004
0.008,0.004
0.008,0.007
0.008,0.008
0.008,0.008
0.01,0.009
0.011,0.01
0.011,0.012
0.012,0.013
0.012,0.015
0.012,0.017
0.012,0.018
0.012,0.02
0.014,0.022
0.016,0.025
0.018,0.027
0.02,0.029
0.024,0.032
0.028,0.035
0.028,0.039
0.028,0.042
0.031,0.046
0.034,0.048
0.036,0.05
0.039,0.052
0.041,0.055
0.046,0.056
0.05,0.06
0.055,0.07
0.057,0.075
0.062,0.077
0.066,0.083
0.071,0.09
0.076,0.096
0.085,0.103
0.091,0.108
0.098,0.113
0.102,0.119
0.106,0.122
0.112,0.125
0.117,0.128
0.123,0.132
0.127,0.139
0.133,0.149
0.138,0.158
0.146,0.17
0.154,0.172
0.16,0.175
0.163,0.182
0.174,0.197
0.183,0.204
0.186,0.21
0.193,0.214
0.202,0.22
0.205,0.223
0.215,0.228
0.222,0.233
0.226,0.24
0.233,0.245
0.245,0.257
0.252,0.265
0.258,0.269
0.268,0.272
0.277,0.28
0.282,0.292
0.292,0.297
0.296,0.301
0.302,0.304
0.311,0.308
0.317,0.317
0.325,0.321
0.333,0.33
0.342,0.339
0.354,0.343
0.364,0.347
0.376,0.351
0.384,0.36
0.39,0.363
0.397,0.372
0.405,0.382
0.414,0.387
0.422,0.39
0.43,0.397
0.435,0.402
0.445,0.412
0.452,0.419
0.458,0.423
0.463,0.428
0.468,0.432
0.471,0.438
0.477,0.447
0.483,0.455
0.489,0.46
0.493,0.463
0.498,0.471
0.503,0.479
0.511,0.487
0.517,0.494
0.524,0.498
0.529,0.503
0.532,0.512
0.537,0.522
0.543,0.534
0.548,0.538
0.557,0.544
0.565,0.551
0.567,0.557
0.572,0.569
0.579,0.575
0.582,0.58
0.583,0.586
0.589,0.59
0.593,0.59
0.597,0.597
0.605,0.602
0.607,0.615
0.609,0.626
0.615,0.631
0.624,0.634
0.628,0.637
0.638,0.643
0.643,0.645
0.646,0.649
0.651,0.654
0.652,0.66
0.655,0.664
0.66,0.665
0.662,0.668
0.666,0.675
0.67,0.677
0.673,0.679
0.677,0.68
0.679,0.683
0.681,0.687
0.684,0.689
0.689,0.693
0.692,0.693
0.695,0.695
0.701,0.7
0.707,0.704
0.709,0.707
0.715,0.714
0.723,0.716
0.724,0.721
0.725,0.725
0.728,0.731
0.732,0.734
0.737,0.738
0.739,0.741
0.741,0.746
0.745,0.749
0.753,0.756
0.757,0.76
0.761,0.763
0.764,0.767
0.767,0.774
0.769,0.779
0.771,0.779
0.772,0.784
0.776,0.787
0.779,0.79
0.78,0.795
0.785,0.8
0.79,0.802
0.794,0.804
0.795,0.805
0.795,0.808
0.796,0.811
0.799,0.814
0.801,0.814
0.802,0.819
0.803,0.82
0.806,0.823
0.809,0.828
0.809,0.829
0.813,0.831
0.814,0.833
0.816,0.834
0.818,0.835
0.82,0.837
0.824,0.838
0.828,0.843
0.832,0.845
0.834,0.846
0.836,0.847
0.837,0.849
0.839,0.851
0.841,0.851
0.842,0.852
0.844,0.853
0.848,0.856
0.852,0.859
0.855,0.86
0.856,0.863
0.856,0.866
0.857,0.87
0.861,0.871
0.862,0.872
0.862,0.873
0.868,0.874
0.869,0.874
0.869,0.877
0.87,0.88
0.87,0.88
0.871,0.88
0.872,0.881
0.872,0.883
0.873,0.883
0.873,0.884
0.873,0.886
0.874,0.887
0.876,0.889
0.878,0.89
0.88,0.89
0.881,0.89
0.881,0.89
0.883,0.891
0.883,0.891
0.885,0.894
0.887,0.894
0.889,0.894
0.891,0.894
0.892,0.894
0.896,0.895
0.897,0.895
0.9,0.896
0.9,0.898
0.901,0.899
0.903,0.899
0.906,0.9
0.907,0.901
0.908,0.903
0.908,0.904
0.909,0.904
0.91,0.907
0.912,0.909
0.913,0.912
0.915,0.912
0.916,0.913
0.916,0.915
0.916,0.915
0.916,0.917
0.917,0.918
0.917,0.919
0.918,0.92
0.92,0.92
0.921,0.922
0.922,0.922
0.925,0.924
0.925,0.925
0.926,0.926
0.928,0.927
0.928,0.928
0.928,0.928
0.928,0.929
0.929,0.929
0.93,0.929
0.931,0.929
0.932,0.929
0.932,0.932
0.933,0.932
0.934,0.933
0.935,0.933
0.936,0.935
0.937,0.936
0.938,0.936
0.938,0.936
0.938,0.937
0.939,0.937
0.941,0.938
0.941,0.94
0.941,0.941
0.942,0.944
0.942,0.944
0.942,0.944
0.943,0.945
0.944,0.945
0.944,0.946
0.944,0.947
0.944,0.948
0.944,0.948
0.944,0.949
0.944,0.949
0.945,0.95
0.946,0.95
0.946,0.95
0.946,0.951
0.946,0.951
0.947,0.951
0.947,0.951
0.947,0.951
0.947,0.951
0.947,0.951
0.947,0.953
0.947,0.953
0.947,0.953
0.947,0.953
0.948,0.953
0.949,0.953
0.949,0.953
0.949,0.953
0.95,0.953
0.951,0.953
0.951,0.953
0.951,0.953
0.951,0.954
0.951,0.954
0.951,0.954
0.952,0.954
0.952,0.955
0.952,0.955
0.954,0.955
0.954,0.955
0.954,0.955
0.955,0.955
0.955,0.956
0.955,0.956
0.955,0.957
0.955,0.957
0.955,0.957
0.955,0.957
0.956,0.959
0.956,0.959
0.956,0.96
0.957,0.961
0.957,0.961
0.957,0.962
0.957,0.962
0.957,0.963
0.958,0.963
0.958,0.963
0.958,0.964
0.959,0.965
0.96,0.965
0.96,0.965
0.96,0.965
0.96,0.965
0.96,0.965
0.96,0.966
0.96,0.966
0.96,0.966
0.96,0.967
0.96,0.967
0.96,0.967
0.961,0.967
0.961,0.967
0.962,0.967
0.962,0.967
0.962,0.967
0.962,0.967
0.962,0.967
0.962,0.967
0.962,0.968
0.962,0.968
0.963,0.969
0.963,0.969
0.963,0.969
0.963,0.969
0.964,0.969
0.964,0.97
0.964,0.97
0.964,0.97
0.964,0.97
0.964,0.97
0.964,0.97
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.971
0.965,0.972
0.965,0.973
0.965,0.973
0.965,0.973
0.965,0.974
0.965,0.974
0.965,0.974
0.966,0.974
0.966,0.975
0.966,0.975
0.966,0.975
0.966,0.976
0.966,0.976
0.966,0.976
0.966,0.976
0.966,0.976
0.966,0.976
0.968,0.976
0.968,0.976
0.968,0.976
0.968,0.978
0.969,0.978
0.969,0.979
0.97,0.979
0.97,0.979
0.97,0.979
0.97,0.979
0.97,0.979
0.97,0.979
0.97,0.979
0.97,0.979
0.971,0.979
0.971,0.979
0.971,0.979
0.971,0.979
0.971,0.98
0.971,0.98
0.971,0.98
0.971,0.98
0.971,0.98
0.971,0.98
0.971,0.98
0.972,0.98
0.972,0.98
0.972,0.98
0.972,0.98
0.972,0.98
0.972,0.98
0.973,0.98
0.973,0.98
0.973,0.98
0.973,0.981
0.973,0.981
0.973,0.982
0.973,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.982
0.974,0.983
0.974,0.983
0.974,0.983
0.974,0.983
0.974,0.984
0.975,0.984
0.975,0.984
0.975,0.984
0.975,0.985
0.975,0.986
0.976,0.987
0.976,0.987
0.976,0.987
0.976,0.987
0.976,0.987
0.976,0.987
0.976,0.987
0.976,0.987
0.976,0.987
0.977,0.987
0.977,0.987
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.988
0.977,0.989
0.977,0.989
0.977,0.989
0.978,0.989
0.978,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.989
0.979,0.99
0.979,0.99
0.979,0.99
0.979,0.99
0.979,0.99
0.979,0.99
0.979,0.99
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.979,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.98,0.991
0.981,0.991
0.981,0.991
0.981,0.991
0.981,0.991
0.981,0.991
0.981,0.991
0.981,0.991
0.981,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.982,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.983,0.991
0.984,0.991
0.984,0.991
0.984,0.991
0.984,0.991
0.984,0.991
0.984,0.991
0.984,0.991
0.984,0.992
0.984,0.992
0.984,0.992
0.985,0.992
0.985,0.992
0.986,0.992
0.986,0.992
0.986,0.992
0.986,0.992
0.986,0.992
0.986,0.992
0.986,0.992
0.986,0.992
0.986,0.993
0.986,0.994
0.986,0.994
0.986,0.994
0.986,0.994
0.986,0.994
0.986,0.994
0.986,0.994
0.986,0.994
0.986,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.994
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.995
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
0.987,0.996
